6.6911 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000161F406FFA0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000161F4F83A60>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.6913 	EXP 	window1: mouseVisible = True
6.6916 	EXP 	window1: mouseVisible = True
6.6917 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.6917 	EXP 	window1: recordFrameIntervals = False
6.8564 	EXP 	window1: recordFrameIntervals = True
7.0405 	EXP 	Screen (0) actual frame rate measured at 59.93Hz
7.0405 	EXP 	window1: recordFrameIntervals = False
7.0679 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
9.0269 	EXP 	Created intro_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='intro_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.0413 	EXP 	Created stimulus = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.75, 0.5 ]), texRes=128.0, units='height', win=Window(...))
9.0426 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.0562 	EXP 	intro_text: autoDraw = True
9.6409 	DATA 	Keypress: space
9.6627 	EXP 	Imported trial_sequence.xlsx as conditions, 10 conditions, 3 params
9.6639 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
9.6645 	EXP 	New trial (rep=0, index=0): {'animal_image': 'cat3.jpg', 'animal_type': 'cat', 'expected_answer': 'c'}
9.6649 	EXP 	window1: recordFrameIntervals = False
9.6806 	EXP 	intro_text: autoDraw = False
9.7074 	EXP 	window1: recordFrameIntervals = False
10.2149 	EXP 	stimulus: image = 'cat3.jpg'
10.2149 	EXP 	stimulus: autoDraw = True
10.9405 	DATA 	Keypress: c
10.9453 	EXP 	stimulus: autoDraw = False
10.9453 	EXP 	text: height = 0.05
10.9453 	EXP 	text: height = 0.05
10.9453 	EXP 	text: height = 0.05
10.9453 	EXP 	text: text = 'CORRECT!'
10.9453 	EXP 	text: autoDraw = True
12.9330 	EXP 	New trial (rep=0, index=1): {'animal_image': 'cat4.jpg', 'animal_type': 'cat', 'expected_answer': 'c'}
12.9338 	EXP 	window1: recordFrameIntervals = False
12.9488 	EXP 	text: autoDraw = False
12.9773 	EXP 	window1: recordFrameIntervals = False
13.4264 	EXP 	stimulus: image = 'cat4.jpg'
13.4264 	EXP 	stimulus: autoDraw = True
14.1698 	DATA 	Keypress: c
14.1789 	EXP 	stimulus: autoDraw = False
14.1789 	EXP 	text: text = 'CORRECT!'
14.1789 	EXP 	text: autoDraw = True
16.1771 	EXP 	New trial (rep=0, index=2): {'animal_image': 'dog3.jpg', 'animal_type': 'dog', 'expected_answer': 'd'}
16.1772 	EXP 	window1: recordFrameIntervals = False
16.1931 	EXP 	text: autoDraw = False
16.2109 	EXP 	window1: recordFrameIntervals = False
16.6728 	EXP 	stimulus: image = 'dog3.jpg'
16.6728 	EXP 	stimulus: autoDraw = True
18.1542 	DATA 	Keypress: c
18.1701 	EXP 	stimulus: autoDraw = False
18.1701 	EXP 	text: height = 0.05
18.1701 	EXP 	text: height = 0.05
18.1701 	EXP 	text: height = 0.05
18.1701 	EXP 	text: text = 'Wrong!'
18.1701 	EXP 	text: autoDraw = True
