animal_image,animal_type,expected_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,image.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,12.483621499995934,12.483621499995934,space,1.0716663999992306,,,,,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
dog5.jpg,dog,d,0,0,0,9,,,,,13.659037899997202,13.659037899997202,None,,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
cat5.jpg,cat,c,0,1,1,4,,,,,14.611274599999888,14.611274599999888,None,,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
cat2.jpg,cat,c,0,2,2,1,,,,,15.623472899998887,15.623472899998887,None,,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
dog1.jpg,dog,d,0,3,3,5,,,,,16.60621700000047,16.60621700000047,None,,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
cat3.jpg,cat,c,0,4,4,2,,,,,17.621773799997754,17.621773799997754,None,,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
dog2.jpg,dog,d,0,5,5,6,,,,,18.606637099997897,18.606637099997897,None,,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
cat1.jpg,cat,c,0,6,6,0,,,,,19.606981400000222,19.606981400000222,c,0.027370000003429595,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
dog3.jpg,dog,d,0,7,7,7,,,,,20.60337620000064,20.60337620000064,c,0.375278999999864,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
dog4.jpg,dog,d,0,8,8,8,,,,,21.57834670000011,21.57834670000011,c,0.5498397999981535,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
cat4.jpg,cat,c,0,9,9,3,,,,,22.577846299995144,22.577846299995144,c,0.5615428000019165,804597,001,2022-07-03_01h22.36.394,file2,2022.2.0,30.233959448254918,
